arm,seed,emo_macroF1,emo_ece,sev_pearson,sev_spearman,sev_mae
MLM-off,13,0.3014133200872869,0.1186069242656231,0.6218055693175923,0.6176370450689241,0.1250783072916667
MLM-on,13,0.2877801443572673,0.19762694858014584,0.5441797665405663,0.5407845474433669,0.13873083007812498
MLM-off,42,0.32300535468414004,0.13599687245488168,0.5980086651870812,0.5868496815080158,0.12938446940104167
MLM-on,42,0.3048574603727642,0.20516643224656583,0.593460229555052,0.586483622790422,0.1349560400390625
MLM-off,1337,0.3154604517114278,0.06824323716014623,0.6309588839881196,0.6330714671106393,0.12194256184895835
MLM-on,1337,0.32711904696255983,0.16191825032234192,0.5752224216221173,0.5655076288198497,0.13196052001953126
