arm,seed,emo_macroF1,emo_ece,sev_pearson,sev_spearman,sev_mae
MLM-off,13,0.3014133200872869,0.1186069242656231,0.6218055693175923,0.6176370450689241,0.1250783072916667
MLM-on,13,0.3234304383448769,0.16321940352022649,0.578520430902183,0.5803567382343591,0.13246437662760413
MLM-off,42,0.32300535468414004,0.13599687245488168,0.5980086651870812,0.5868496815080158,0.12938446940104167
MLM-on,42,0.3368858764180644,0.16665944670140745,0.5685654790143488,0.56428967006824,0.13360461425781248
MLM-off,1337,0.3154604517114278,0.06824323716014623,0.6309588839881196,0.6330714671106393,0.12194256184895835
MLM-on,1337,0.31780551354490194,0.1481126321852207,0.5673983301904371,0.5683380417043272,0.13021963704427084
